date,exchange_rate,tourist_arrivals
10/02/2023,324.1,"3,711"
10/03/2023,323.5,"3,151"
10/04/2023,323.25,"2,675"
10/05/2023,323.95,"3,376"
10/06/2023,323.75,"3,695"
10/07/2023,323.4652138,"2,968"
10/08/2023,323.5982537,"3,199"
10/09/2023,323.5,"3,451"
10/10/2023,323.5,"3,030"
10/11/2023,323.6,"2,209"
10/12/2023,323.25,"3,305"
10/13/2023,323.25,"4,286"
10/14/2023,323.3038237,"3,954"
10/15/2023,323.2902001,"3,888"
10/16/2023,323.9,"4,079"
10/17/2023,324,"3,095"
10/18/2023,324.5,"2,812"
10/19/2023,324.5,"3,936"
10/20/2023,325.5,"5,101"
10/21/2023,324.7663746,"4,433"
10/22/2023,324.6714315,"3,912"
10/23/2023,325.9,"3,787"
10/24/2023,327,"3,340"
10/25/2023,326.25,"3,036"
10/26/2023,326.5,"3,823"
10/27/2023,327.3,"4,257"
10/28/2023,326.473523,"3,391"
10/29/2023,326.3607869,"3,026"
10/30/2023,327,"3,207"
10/31/2023,327.5,"3,569"
11/01/2023,327.5,"4,564"
11/02/2023,328.75,"4,292"
11/03/2023,328.5,"4,465"
11/04/2023,328.17355,"4,408"
11/05/2023,328.2009666,"4,473"
11/06/2023,326.5,"4,300"
11/07/2023,327.5,"3,892"
11/08/2023,328.25,"4,163"
11/09/2023,327,"6,496"
11/10/2023,326.75,"4,361"
11/11/2023,327.1265308,"5,086"
11/12/2023,327.2760828,"4,995"
11/13/2023,326.5,"7,520"
11/14/2023,327.6,"6,390"
11/15/2023,328.5,5259
