date,Tourists,India,Russia,United Kingdom,Germany,Australia,France,United States,China
2021-01-01,"1,682",17,20,0,19,0,0,10,27
2021-02-01,"3,366",79,119,79,245,0,0,75,117
2021-03-01,"4,581",279,336,398,766,0,0,267,367
2021-04-01,"4,168",796,173,334,383,0,84,248,475
2021-05-01,"1,497",39,94,149,222,34,0,153,237
2021-06-01,"1,614",0,33,121,137,0,654,118,176
2021-07-01,"2,429",0,0,342,215,0,147,242,167
2021-08-01,"5,040",405,247,489,515,29,248,311,178
2021-09-01,"13,547","8,258",304,309,466,27,181,150,176
2021-10-01,"22,771","8,406","1,328","2,241","1,196",121,624,573,182
2021-11-01,"44,294","14,236","3,520","3,770","2,667",940,"1,447","1,178",201
2021-12-01,"89,506","23,566","10,793","8,493","5,875","3,129","3,021","2,884",258
2022-01-01,"82,327","11,751","13,478","7,442","5,339","2,814","3,616","1,829",226
2022-02-01,"96,507","12,744","15,340","10,642","7,780","1,688","5,699","1,855",266
2022-03-01,"106,500","23,216","8,899","12,908","9,561","2,359","5,741","3,114",358
2022-04-01,"62,980","8,678","3,874","11,539","6,088","3,508","4,035","1,872",261
2022-05-01,"30,207","5,562","3,202","3,723","2,208","1,660","1,076","1,368",242
2022-06-01,"32,856","6,810","1,610","3,368","2,466","2,511","1,717","1,647",231
2022-07-01,"47,293","6,031","1,828","9,257","3,666","1,974","3,567","1,469",100
2022-08-01,"37,760","5,340","1,426","6,776","3,251","1,898","2,784","1,105",100
2022-09-01,"29,802","6,493","1,553","2,872","2,149","2,309","1,201",991,302
2022-10-01,"42,026","8,862","6,189","4,275","2,881","2,106","1,540","1,253",242
2022-11-01,"59,759","10,166","13,817","4,486","3,315","2,826","1,837","1,647",423
2022-12-01,"91,961","17,339","19,958","7,568","4,953","5,093","2,660","3,375",532
2023-01-01,"102,545","13,759","25,254","8,483","8,217","3,668","4,840","2,636",835
2023-02-01,"107,639","13,714","29,084","8,575","7,930","3,113","6,118","2,443","1,535"
2023-03-01,"125,495","18,959","25,553","11,053","9,702","4,725","5,786","5,701","3,096"
2023-04-01,"105,498","19,915","14,656","8,743","7,404","4,996","5,535","3,940","5,118"
2023-05-01,"83,309","23,016","7,760","5,987","6,854","4,201","2,414","3,240","4,173"
2023-06-01,"100,388","26,830","7,968","7,981","5,090","6,195","2,895","3,806","5,105"
2023-07-01,"143,039","23,461","8,009","17,482","8,013","5,323","7,432","4,120","10,062"
2023-08-01,"136,405","30,593",6583,"15,035","8,472","5,522","6,223","3,107","9,262"
2023-09-01,"111,938","30,063","7,163","7,504","7,231","5,969","2,661","2,357","8,445"
2023-10-01,"109,199","28,222","10,629","8,454","7,548","4,997","2,956","2,651","6,211"
2023-11-01,"151,496","30,339","24,912",11526,"12,331","7,900","3,882","4,229","6,673"
2023-12-01,"210,352","43,973","29,657","19,265","13,747","10,847","5,509","8,044","8,274"
2024-01-01,"208,253","34,399","31,159","16,665","13,593","6,645","9,919","5,712","11,511"
2024-02-01,"218,350","30,027","32,030","20,614","16,259","6,265","12,503","5,709","14,863"
2024-03-01,"209,181","31,853","28,016","21,540","18,324","8,852","10,960","7,617","12,865"
2024-04-01,"148,867","27,304","15,103","13,173","9,843","7,202","8,792","5,574","8,518"
2024-05-01,"112,128","32,254","4,384","8,094","7,495","5,465","4,064","4,082","7,511"
